id_respuesta,facultad,semestre,genero,claridad_clases,organizacion_programa,disponibilidad_docentes,uso_tecnologia,relevancia_contenidos,evaluacion_aprendizaje,infraestructura_aulas,satisfaccion_general
1,Derecho,1,M,5,5,5,3,5,4,5,5
2,Derecho,9,M,5,3,4,7,5,4,3,4
3,Educacion,6,F,6,6,3,3,4,3,5,4
4,Electromecanica,10,M,5,5,5,5,6,6,6,5
5,Informatica,6,F,5,6,6,4,5,4,5,5
6,Educacion,9,F,5,7,4,5,6,5,6,5
7,Educacion,6,F,4,7,5,6,6,7,5,6
8,Informatica,4,F,7,6,6,6,6,5,4,5
9,Informatica,8,M,6,6,6,4,5,6,5,5
10,Derecho,5,F,5,6,6,6,4,5,6,5
11,Educacion,9,F,5,5,4,7,6,5,5,5
12,Electromecanica,2,F,6,3,5,4,7,4,5,5
13,Electromecanica,4,M,5,4,6,4,5,5,6,5
14,Informatica,1,F,5,5,5,3,4,3,4,4
15,Educacion,10,M,4,5,6,5,4,5,5,5
16,Derecho,1,M,6,6,5,6,7,6,6,6
17,Educacion,2,M,6,5,5,4,6,6,6,5
18,Derecho,7,F,4,6,5,6,4,4,6,5
19,Electromecanica,8,F,5,5,5,4,5,5,1,4
20,Informatica,9,F,6,6,6,6,5,7,5,6
21,Informatica,2,M,5,5,6,7,5,6,6,6
22,Educacion,2,F,6,7,5,6,6,5,7,6
23,Educacion,6,M,5,3,2,2,5,4,5,4
24,Educacion,3,M,4,6,5,4,6,4,3,5
25,Informatica,8,M,6,6,5,6,7,6,5,6
26,Derecho,7,F,4,6,4,4,5,3,5,4
27,Informatica,6,F,6,7,7,7,7,5,5,7
28,Educacion,3,M,4,4,4,6,4,5,2,4
29,Electromecanica,2,M,6,5,7,5,5,7,6,6
30,Informatica,2,M,5,3,5,5,4,7,5,5
31,Derecho,5,F,3,5,4,6,4,4,3,4
32,Informatica,9,F,5,6,6,4,6,6,3,5
33,Informatica,7,M,5,6,3,6,4,3,4,4
34,Informatica,5,F,5,4,5,4,5,5,6,5
35,Electromecanica,3,F,4,3,7,6,5,6,5,5
36,Educacion,10,F,5,6,4,5,4,5,5,5
37,Educacion,2,M,5,3,4,5,5,4,5,4
38,Derecho,6,M,6,5,4,6,4,7,4,5
39,Informatica,4,M,4,6,6,6,6,6,5,5
40,Informatica,3,F,6,3,5,3,5,2,5,4
41,Electromecanica,10,M,6,5,4,7,6,4,5,6
42,Derecho,5,M,3,4,6,6,4,6,2,5
43,Derecho,7,F,3,5,5,5,4,5,3,4
44,Educacion,7,M,7,4,6,7,7,6,6,7
45,Informatica,1,F,5,5,6,6,4,4,4,5
46,Derecho,2,F,5,6,6,5,7,7,5,6
47,Informatica,4,F,5,7,6,3,5,5,3,5
48,Derecho,1,M,6,7,7,4,5,5,4,6
49,Educacion,5,M,6,4,5,6,6,5,3,5
50,Electromecanica,6,F,6,5,6,4,6,5,7,6
51,Derecho,9,F,4,3,5,2,4,3,4,3
52,Electromecanica,5,M,5,4,5,5,4,5,4,4
53,Informatica,4,M,3,4,5,5,3,5,6,4
54,Informatica,4,M,5,5,5,4,5,6,4,5
55,Informatica,8,F,5,5,6,6,7,7,3,5
56,Informatica,1,F,5,4,4,5,5,5,2,5
57,Informatica,9,M,3,6,6,5,4,4,5,4
58,Informatica,2,F,2,4,5,3,6,4,4,4
59,Informatica,8,F,7,5,5,4,7,5,3,5
60,Electromecanica,2,F,4,4,6,3,4,6,6,5
61,Educacion,9,M,3,4,5,3,6,5,4,4
62,Informatica,5,F,4,6,7,5,6,7,5,6
63,Educacion,8,M,5,5,6,6,4,5,3,4
64,Informatica,5,M,6,5,3,4,4,5,3,4
65,Derecho,10,M,6,5,3,4,4,6,7,5
66,Informatica,3,M,7,5,5,7,5,5,5,6
67,Derecho,5,M,4,5,5,5,6,6,5,5
68,Electromecanica,7,M,6,4,6,6,7,2,3,5
69,Informatica,9,M,4,4,4,5,6,6,4,5
70,Informatica,8,M,5,4,4,6,5,6,5,5
71,Educacion,8,F,4,6,4,6,6,6,6,6
72,Derecho,6,M,6,5,5,4,6,5,5,5
73,Informatica,4,F,6,6,6,4,4,3,7,5
74,Informatica,3,F,6,3,5,5,6,6,4,5
75,Educacion,3,F,5,6,7,5,6,4,6,5
76,Derecho,7,M,6,4,7,5,5,4,6,5
77,Electromecanica,1,M,3,4,5,4,4,4,5,4
78,Derecho,6,F,5,4,5,5,4,6,4,5
79,Derecho,5,M,4,5,5,3,4,5,5,4
80,Derecho,5,F,3,5,4,5,3,4,5,5
81,Informatica,4,M,7,5,6,6,5,6,5,6
82,Electromecanica,6,F,4,4,6,6,5,4,4,5
83,Derecho,5,M,5,5,5,4,5,6,3,5
84,Electromecanica,9,M,6,5,4,4,4,3,3,4
85,Electromecanica,4,M,5,6,6,5,6,4,6,6
86,Educacion,8,F,6,5,5,7,6,5,6,6
87,Informatica,9,F,6,5,6,3,5,5,7,5
88,Electromecanica,2,F,4,3,6,4,4,4,5,4
89,Informatica,2,M,4,6,5,5,4,4,6,5
90,Derecho,1,F,6,7,6,7,7,4,7,6
91,Informatica,3,M,4,5,5,6,5,7,3,5
92,Electromecanica,9,F,6,6,5,5,4,5,4,5
93,Informatica,3,M,5,4,6,5,5,3,3,4
94,Informatica,6,M,5,5,4,5,5,5,5,5
95,Informatica,2,M,5,7,4,5,7,3,6,5
96,Informatica,5,F,3,4,4,4,5,5,3,4
97,Informatica,1,F,6,7,5,6,5,4,5,5
98,Informatica,10,F,5,5,7,4,6,5,7,5
99,Informatica,5,M,5,6,6,5,6,7,5,6
100,Informatica,8,M,3,3,6,2,5,5,4,4
101,Informatica,1,M,7,5,5,5,6,6,7,6
