region,treatment,soil_ph,nitrogen,potassium,moisture,temperature
east,organic,6.98,83.46,52.27,13.78,29.3
east,organic,7.36,83.12,64.07,23.27,22.26
north,control,6.45,78.39,50.28,21.51,21.92
east,organic,6.42,89.73,46.2,16.39,21.06
east,organic,6.54,89.52,53.73,16.52,25.23
west,control,7.08,59.02,68.62,24.5,22.46
west,control,6.04,95.65,69.53,15.24,21.05
south,chemical,6.62,60.05,65.13,26.57,26.96
west,organic,6.99,92.39,67.25,16.4,27.26
west,control,6.75,93.52,65.16,22.55,21.2
west,chemical,6.59,66.91,53.59,18.69,17.4
west,chemical,7.0,75.07,64.32,22.41,26.02
north,organic,5.15,66.73,68.0,17.82,20.95
west,organic,6.84,77.42,67.54,19.35,25.37
north,chemical,6.17,76.3,71.89,20.16,17.09
north,control,5.58,89.36,67.08,15.99,25.68
west,chemical,6.76,95.72,63.51,22.96,19.37
east,organic,7.19,96.75,70.7,17.95,25.19
north,control,6.43,73.25,59.73,19.09,23.04
east,control,6.98,77.49,51.18,16.02,20.14
east,chemical,7.31,59.8,58.37,9.75,21.78
west,organic,7.16,70.33,52.55,19.24,25.06
south,chemical,7.32,91.58,53.25,29.65,23.32
west,chemical,6.87,99.39,58.55,23.14,24.75
south,chemical,6.54,65.19,52.08,19.92,28.93
south,control,5.7,72.89,56.92,18.95,18.31
west,control,6.38,79.68,41.06,20.09,27.85
west,organic,6.08,83.36,62.13,22.19,23.31
south,organic,7.59,70.28,60.01,15.28,20.3
west,chemical,6.41,85.09,51.83,24.46,19.01
south,chemical,6.56,74.31,66.59,22.86,22.43
east,chemical,6.78,79.83,69.38,22.87,25.76
west,organic,6.52,86.56,43.92,21.75,22.62
east,control,7.35,80.08,52.37,20.08,27.53
north,control,6.19,74.76,52.31,22.69,18.65
east,chemical,6.6,78.68,50.6,22.37,22.96
east,chemical,6.13,78.94,68.29,18.58,19.24
south,chemical,5.84,75.56,58.06,17.71,24.09
east,chemical,6.19,76.89,57.35,20.41,25.66
west,organic,6.48,99.18,39.96,26.2,21.74
south,control,6.29,86.73,66.35,15.04,15.19
north,chemical,6.15,76.45,47.61,14.13,23.6
west,organic,5.8,88.36,60.6,20.66,24.31
north,chemical,6.46,75.99,62.77,20.2,24.21
east,chemical,5.75,94.08,73.61,20.69,26.71
west,control,6.88,84.44,46.91,20.98,19.79
west,chemical,6.54,78.71,29.8,19.11,25.04
north,control,5.77,85.37,61.84,25.96,26.58
west,control,6.35,61.15,78.01,13.6,17.66
west,control,6.12,66.48,72.39,16.69,23.96
west,organic,6.66,65.67,62.1,19.59,21.49
east,organic,7.17,81.72,55.08,13.43,22.76
north,control,5.56,100.79,68.07,19.3,24.04
west,chemical,6.56,106.78,50.26,26.65,21.54
south,control,6.42,87.66,64.76,20.08,20.97
south,chemical,6.84,86.01,65.05,20.92,23.1
south,control,6.61,58.39,70.6,14.96,19.74
south,chemical,6.12,73.49,87.6,17.53,19.74
east,organic,6.34,70.55,63.92,18.5,25.04
west,chemical,6.1,72.55,54.91,18.73,19.55
north,control,7.04,77.98,59.74,25.13,25.0
west,organic,6.51,74.33,42.31,22.23,24.39
east,chemical,7.45,56.25,53.05,15.55,17.82
south,chemical,6.47,88.97,55.91,20.99,20.97
east,chemical,6.15,67.13,54.76,21.99,26.58
west,chemical,5.74,82.87,61.52,24.56,20.06
north,chemical,5.6,104.89,51.78,26.32,21.61
east,organic,5.71,68.97,71.21,15.94,24.39
north,organic,6.63,49.64,60.0,16.76,25.35
east,organic,6.75,76.57,59.91,14.97,22.25
north,organic,5.71,93.21,56.72,19.06,21.21
north,control,6.95,103.5,61.55,21.87,27.27
south,organic,6.26,65.25,68.25,23.95,28.22
north,chemical,6.57,85.96,51.33,19.7,25.94
south,chemical,7.31,74.42,53.42,18.72,23.26
west,organic,6.95,78.73,56.96,20.61,20.58
west,chemical,6.37,111.73,46.54,16.66,20.51
south,organic,6.05,61.96,51.81,28.36,24.57
south,chemical,5.42,83.04,55.24,13.57,24.26
east,control,6.14,85.61,68.74,20.74,27.2
east,control,6.39,93.03,62.63,28.09,24.95
east,organic,6.01,81.18,61.94,20.03,18.49
west,organic,6.43,83.7,68.51,19.24,26.16
east,organic,6.54,75.3,58.63,18.57,20.01
north,chemical,6.39,83.23,63.9,19.28,21.85
north,organic,6.17,75.88,58.97,25.49,23.75
east,control,6.58,87.46,62.65,11.15,28.99
north,chemical,6.72,75.56,54.17,26.13,32.33
west,organic,5.95,84.53,35.61,14.3,24.82
north,chemical,7.21,79.65,58.66,18.93,22.45
west,chemical,6.45,93.51,74.23,18.28,24.6
south,organic,6.51,79.38,69.26,22.35,25.66
south,chemical,6.85,58.72,69.65,13.61,22.04
south,control,6.62,95.14,72.36,21.85,28.39
south,control,6.98,69.13,60.89,28.1,23.69
north,chemical,6.64,72.15,61.97,14.55,24.49
east,organic,6.19,72.85,53.82,20.76,25.0
north,chemical,6.68,96.49,56.84,17.35,24.26
west,control,5.93,54.37,66.16,21.7,25.52
north,chemical,6.55,117.65,72.04,20.08,21.15
north,chemical,6.48,92.67,58.61,17.43,21.33
west,control,6.4,82.68,55.5,21.95,19.7
south,chemical,6.44,79.34,60.01,27.22,24.32
south,chemical,5.56,83.43,66.01,19.24,25.34
south,organic,6.23,86.25,45.56,22.88,24.37
east,organic,6.55,87.74,37.04,14.83,28.02
west,control,6.58,86.67,54.49,16.17,22.98
west,control,5.99,81.07,47.79,21.89,25.01
north,control,7.13,77.63,54.92,25.94,19.72
east,organic,6.07,78.18,58.52,21.42,21.84
south,control,6.98,77.66,55.47,18.75,25.09
east,control,6.71,93.61,74.52,20.0,25.55
west,control,6.18,87.12,63.27,15.0,22.12
west,organic,7.39,44.72,63.0,22.42,22.79
north,chemical,5.9,87.87,66.22,23.53,18.45
north,control,6.96,82.34,48.61,18.19,21.93
west,chemical,7.0,79.78,70.39,18.12,25.67
south,control,6.16,75.34,59.24,21.06,24.73
south,chemical,7.2,93.49,66.7,18.25,24.5
east,organic,6.37,91.37,49.28,19.74,23.15
